Date,Open,High,Low,Close,Shares Traded ,Turnover (₹ Cr)
01-Jul-22,27718.8,28151,27524.3,28064.25,17362585,2460.19
04-Jul-22,28084.25,28174.4,27643.65,27890.65,16524407,2554.89
05-Jul-22,28020.3,28233.05,27642.6,27695.15,22705381,3158.56
06-Jul-22,27778.65,28148.9,27628.55,28007.6,19427285,2706.18
07-Jul-22,28217.8,28459.25,28077.05,28196.35,17533750,2507.99
08-Jul-22,28450.55,28459.55,28095.35,28250.3,18446136,2649.36
11-Jul-22,27855.75,27941.2,27195.65,27380.55,30951187,4745.7
12-Jul-22,27248.2,27504.4,27022.85,27063.75,22932784,3441.23
13-Jul-22,27228.95,27247.45,26872.75,26949.75,32810008,4427.91
14-Jul-22,27155,27162.9,26298,26523.3,29820417,4793.39
15-Jul-22,26664.3,26734,26189.4,26484.7,34101260,4767.09
18-Jul-22,26801.75,27376.2,26785.8,27322.95,28788735,4229.65
19-Jul-22,27071.8,27399.5,27065.8,27346.1,23347451,3375.15
20-Jul-22,27701.05,28175.5,27631.4,28146.35,35884280,4825.2
21-Jul-22,28116.55,28369.95,27848.75,28342.9,42420527,4613.6
22-Jul-22,28429.55,28549.25,27862.05,28168.15,27428390,3988.16
25-Jul-22,28006.65,28320.85,27890.65,28216,23842957,3428.81
26-Jul-22,28157.5,28157.5,27383.95,27418.85,29869337,4174.68
27-Jul-22,27420.65,27908.25,27339.95,27878.8,19663845,2564.29
28-Jul-22,28225.1,28703.4,28170.45,28663.05,27396334,4180.12
29-Jul-22,28983.25,29355,28909.15,29152.3,31458550,4710.11
01-Aug-22,29376.65,29376.65,28928.95,29220,16485146,2304.82
02-Aug-22,29131.1,29153.05,28871.2,29024.65,21443317,2694.48
03-Aug-22,29002.3,29453.35,28929.9,29416.95,25600876,4003.48
04-Aug-22,29694.05,29972.35,29278.15,29782.9,30918769,4423.62
05-Aug-22,29891.85,30080.2,29799.2,29973.55,20180069,2767.02
08-Aug-22,29999.15,30036.75,29694.15,29967.7,15225787,2068.18
10-Aug-22,30013.45,30013.45,29456.8,29701.15,19573121,2710.89
11-Aug-22,30164.2,30388.9,30073.95,30233.7,18763473,2863.89
12-Aug-22,30184.95,30195,29819.15,29885.9,15071434,2291.73
16-Aug-22,30130.9,30141.35,29826.25,29909,12596397,1863.95
17-Aug-22,29917.35,30328.15,29784.15,30256.9,22060571,3161.18
18-Aug-22,30148.8,30166.1,29857.65,30018.9,22277628,2870.75
19-Aug-22,30095.45,30474.65,29943.9,30036.1,25515505,3623.99
22-Aug-22,29847.35,29881.75,29430.95,29478.9,19866845,2724.46
23-Aug-22,29041.6,29188.9,28714.15,28957.85,25297084,3372.01
24-Aug-22,28981.35,29120.3,28762.45,28859.85,13487911,2006.12
25-Aug-22,29061.55,29081.75,28561.8,28608.65,18210337,2597.09
26-Aug-22,28862.35,29067.55,28638.95,28691.6,14900777,2122.03
29-Aug-22,27648.1,27773.1,27333.05,27678.95,35907353,4317.6
30-Aug-22,27971.95,28466.8,27831.35,28407.9,30136516,4139.09
01-Sep-22,27987.35,28020,27710.05,27846.8,28429986,4030.59
02-Sep-22,28083.3,28085.35,27717.15,27745.8,16970130,2375.54
05-Sep-22,27727,27978.8,27669.4,27836.6,20041163,2367.6
06-Sep-22,27884.85,27967.1,27580.35,27742.8,21152697,2453.14
07-Sep-22,27500.5,27917.8,27487.7,27832.4,17889290,2190.52
08-Sep-22,28109.7,28206.6,27959.65,28102.4,19788487,2386.4
09-Sep-22,28343.8,28848.4,28127.45,28724,21540502,2896.6
12-Sep-22,28975.9,29296.2,28932.05,29131.2,23672767,3538.28
13-Sep-22,29334.05,29344.9,29062.6,29116.85,18120560,2667.95
14-Sep-22,28215.75,28284.05,28040.3,28137.6,43304784,6349.33
15-Sep-22,28232.85,28265.75,27684.4,27734.35,28065493,3875.08
16-Sep-22,27530.6,27575.55,26632.95,26706.45,50177465,6844.52
